product_id,risk_score,rank,feature,value,deviation
B00AMKMB2I,89.33333333333333,1,uppercase_ratio,0.5517241379310345,5.863147276854395
B00AMKMB2I,89.33333333333333,2,feature_count,0.0,5.0
B00AMKMB2I,89.33333333333333,3,category_count,0.0,4.0
B00AMKMB2I,89.33333333333333,4,seller_name_length,0.0,3.5
B00AMKMB2I,89.33333333333333,5,special_character_ratio,0.0789473684210526,2.3066607783031157
B01MCYYQEB,85.88253382740216,1,feature_count,0.0,5.0
B01MCYYQEB,85.88253382740216,2,category_count,0.0,4.0
B01MCYYQEB,85.88253382740216,3,seller_name_length,0.0,3.5
B01MCYYQEB,85.88253382740216,4,average_rating,5.0,2.000000000000002
B01MCYYQEB,85.88253382740216,5,title_word_count,33.0,1.5
B00XJDYDYO,85.38688873423436,1,feature_count,0.0,5.0
B00XJDYDYO,85.38688873423436,2,category_count,0.0,4.0
B00XJDYDYO,85.38688873423436,3,seller_name_length,0.0,3.5
B00XJDYDYO,85.38688873423436,4,special_character_ratio,0.0,2.0648568608094764
B00XJDYDYO,85.38688873423436,5,average_rating,5.0,2.000000000000002
B01INITER0,83.42686910643249,1,feature_count,0.0,5.0
B01INITER0,83.42686910643249,2,category_count,0.0,4.0
B01INITER0,83.42686910643249,3,seller_name_length,0.0,3.5
B01INITER0,83.42686910643249,4,special_character_ratio,0.0,2.0648568608094764
B01INITER0,83.42686910643249,5,log_rating_number,1.0986122886681098,1.480975229781079
B01E10J2XU,83.03067110394038,1,feature_count,0.0,5.0
B01E10J2XU,83.03067110394038,2,category_count,0.0,4.0
B01E10J2XU,83.03067110394038,3,seller_name_length,0.0,3.5
B01E10J2XU,83.03067110394038,4,average_rating,5.0,2.000000000000002
B01E10J2XU,83.03067110394038,5,title_length,45.0,1.7
B01BD2I7GC,82.629555995765,1,feature_count,0.0,5.0
B01BD2I7GC,82.629555995765,2,category_count,0.0,4.0
B01BD2I7GC,82.629555995765,3,seller_name_length,0.0,3.5
B01BD2I7GC,82.629555995765,4,average_rating,5.0,2.000000000000002
B01BD2I7GC,82.629555995765,5,log_rating_number,0.6931471805599453,1.7757806250334978
B07JWVC4YG,82.29346837584812,1,feature_count,0.0,5.0
B07JWVC4YG,82.29346837584812,2,category_count,0.0,4.0
B07JWVC4YG,82.29346837584812,3,seller_name_length,0.0,3.5
B07JWVC4YG,82.29346837584812,4,special_character_ratio,0.0754716981132075,2.114204026895642
B07JWVC4YG,82.29346837584812,5,average_rating,5.0,2.000000000000002
B01HEV9B1Q,81.7388259225932,1,feature_count,0.0,5.0
B01HEV9B1Q,81.7388259225932,2,category_count,0.0,4.0
B01HEV9B1Q,81.7388259225932,3,seller_name_length,0.0,3.5
B01HEV9B1Q,81.7388259225932,4,image_count,1.0,2.5
B01HEV9B1Q,81.7388259225932,5,average_rating,5.0,2.000000000000002
B00023I0LQ,81.33333333333334,1,average_rating,1.0,8.00000000000001
B00023I0LQ,81.33333333333334,2,uppercase_ratio,0.5833333333333334,6.440578448059753
B00023I0LQ,81.33333333333334,3,feature_count,0.0,5.0
B00023I0LQ,81.33333333333334,4,special_character_ratio,0.1176470588235294,4.449561581789682
B00023I0LQ,81.33333333333334,5,seller_name_length,0.0,3.5
B00008PVXC,79.29100394074254,1,description_word_count,866.0,44.578947368421055
B00008PVXC,79.29100394074254,2,description_length,4938.0,43.68778280542986
B00008PVXC,79.29100394074254,3,seller_name_length,14.0,3.5
B00008PVXC,79.29100394074254,4,average_rating,5.0,2.000000000000002
B00008PVXC,79.29100394074254,5,image_count,3.0,1.5
B011NAANHU,79.1777675916853,1,uppercase_ratio,0.9,12.225388908680694
B011NAANHU,79.1777675916853,2,seller_name_length,20.0,6.5
B011NAANHU,79.1777675916853,3,feature_count,0.0,5.0
B011NAANHU,79.1777675916853,4,category_count,0.0,4.0
B011NAANHU,79.1777675916853,5,image_count,1.0,2.5
B000HJ76PQ,78.70268454681056,1,seller_name_length,24.0,8.5
B000HJ76PQ,78.70268454681056,2,feature_count,0.0,5.0
B000HJ76PQ,78.70268454681056,3,category_count,0.0,4.0
B000HJ76PQ,78.70268454681056,4,image_count,1.0,2.5
B000HJ76PQ,78.70268454681056,5,title_length,11.0,2.38
B005N39S20,78.60472327592625,1,feature_count,0.0,5.0
B005N39S20,78.60472327592625,2,seller_name_length,0.0,3.5
B005N39S20,78.60472327592625,3,image_count,1.0,2.5
B005N39S20,78.60472327592625,4,special_character_ratio,0.0,2.0648568608094764
B005N39S20,78.60472327592625,5,average_rating,5.0,2.000000000000002
B08XVXJJ9B,77.37894339409608,1,price_numeric,6939.95,6939.95
B08XVXJJ9B,77.37894339409608,2,price_ratio_to_category,15.790737095985165,15.790737095985165
B08XVXJJ9B,77.37894339409608,3,description_word_count,303.0,14.947368421052632
B08XVXJJ9B,77.37894339409608,4,description_length,1741.0,14.755656108597286
B08XVXJJ9B,77.37894339409608,5,video_count,10.0,10.0
B007LOT5CW,77.2533701396066,1,feature_count,0.0,5.0
B007LOT5CW,77.2533701396066,2,seller_name_length,0.0,3.5
B007LOT5CW,77.2533701396066,3,image_count,1.0,2.5
B007LOT5CW,77.2533701396066,4,uppercase_ratio,0.3414634146341463,2.0221417034263
B007LOT5CW,77.2533701396066,5,average_rating,5.0,2.000000000000002
B00EZKSD8W,77.1871552827161,1,seller_name_length,22.0,7.5
B00EZKSD8W,77.1871552827161,2,feature_count,0.0,5.0
B00EZKSD8W,77.1871552827161,3,video_count,3.0,3.0
B00EZKSD8W,77.1871552827161,4,image_count,1.0,2.5
B00EZKSD8W,77.1871552827161,5,average_rating,5.0,2.000000000000002
B002RISHSU,77.14866487325105,1,description_length,4270.0,37.64253393665158
